block,trial_number,valid_trial,staircase_trial,motion_direction,quadrant,eccentricity,jitter_dva,flash_dva,flash_seconds,response,probe_offset_dva,staircase_identity,step_size_dva,staircase_direction,staircase_reversals
8,222,valid,31,uniform_control,lower_right,outer,-1,10,1,inner,-1.84074074074074,lower_control,0.2,-1,16
8,223,valid,28,fugal,lower_left,inner,-1,6,1,inner,-0.866666666666667,lower_fugal,0.2,-1,22
8,224,valid,29,petal,lower_left,inner,-1,6,1,outer,-1.9,lower_petal,0.2,-1,16
8,225,valid,C,uniform_control,upper_right,inner,0,7,1,inner,-5,catch_trial,0.2,-1,16
8,226,valid,29,fugal,lower_right,outer,1,12,1,outer,-0.666666666666667,lower_fugal,0.2,1,23
8,227,valid,29,uniform_control,upper_left,inner,1,8,0.75,outer,-2.64814814814815,upper_control,0.2,-1,16
8,228,valid,30,petal,lower_left,outer,-1,10,0.75,inner,-2.1,lower_petal,0.2,-1,16
8,229,valid,31,petal,lower_right,inner,-1,6,1.25,outer,-1.9,lower_petal,0.2,1,17
8,230,valid,30,fugal,lower_left,outer,-1,10,1,inner,-0.866666666666667,lower_fugal,0.2,-1,24
8,231,valid,31,fugal,lower_right,inner,-1,6,1.25,outer,-0.666666666666667,lower_fugal,0.2,1,25
8,232,valid,C,petal,lower_right,inner,0,7,1,outer,5,catch_trial,0.2,-1,18
8,233,valid,30,petal,upper_left,inner,1,8,1.25,outer,-2.01851851851852,upper_petal,0.2,-1,16
8,234,valid,C,uniform_control,lower_left,outer,0,11,1,outer,5,catch_trial,0.2,1,17
8,235,valid,30,fugal,upper_left,inner,-1,6,0.75,inner,-0.251851851851852,upper_fugal,0.2,-1,18
8,236,valid,C,fugal,upper_left,outer,0,11,1,inner,-5,catch_trial,0.2,1,19
8,237,valid,31,fugal,upper_left,outer,-1,10,0.75,outer,-0.0518518518518519,upper_fugal,0.2,1,19
8,238,valid,31,petal,upper_right,inner,1,8,1.25,outer,-2.21851851851852,upper_petal,0.2,-1,16
8,239,valid,30,uniform_control,upper_right,outer,0,11,1,inner,-2.84814814814815,upper_control,0.2,-1,16
8,240,valid,31,uniform_control,upper_right,inner,1,8,1,inner,-2.64814814814815,upper_control,0.2,1,17
1,1,valid,0,uniform_control,upper_right,outer,-1,10,0.75,outer,0,upper_control,1.5,NaN,0
1,2,valid,0,uniform_control,lower_left,outer,1,12,0.75,outer,0,lower_control,1.5,NaN,0
1,3,valid,1,uniform_control,upper_left,inner,0,7,1,outer,-1.5,upper_control,1.5,-1,0
1,4,valid,0,fugal,upper_right,inner,-1,6,1.25,outer,0,upper_fugal,1.5,NaN,0
1,5,valid,C,uniform_control,upper_left,inner,0,7,1,outer,5,catch_trial,1.5,-1,0
1,6,valid,1,fugal,upper_left,inner,-1,6,1.25,inner,-1.5,upper_fugal,1.5,-1,0
1,7,valid,C,fugal,lower_left,inner,0,7,1,inner,-5,catch_trial,1.5,NaN,0
1,8,valid,0,petal,lower_left,outer,-1,10,1.25,outer,0,lower_petal,1.5,NaN,0
1,9,valid,0,petal,upper_right,inner,0,7,1.25,outer,0,upper_petal,1.5,NaN,0
